PLAYER_NAME,PLAYER_POSITION,PLAYER_TEAM,2019_G,2019_GS,2019_IP,2019_BB,2019_K,2019_W,2019_SV,2019_HD,2019_ERA,2019_WHIP,2019_K/9,2020_G,2020_GS,2020_IP,2020_BB,2020_K,2020_W,2020_SV,2020_HD,2020_ERA,2020_WHIP,2020_K/9,2020_OUTLOOK
Aroldis Chapman,RP,Yankees,60.0,0.0,57.0,25.0,85.0,3.0,37.0,0.0,2.21,1.11,13.42,16.0,0.0,15.0,5.0,20.0,1.0,12.0,0.0,2.4,1.07,12.0,"For the fifth time in his past six seasons, Chapman managed at least 30 saves, 85 strikeouts and a sub-2.50 ERA in 2019, despite the fact that his average fastball velocity dropped for the third consecutive year. He's no longer the overwhelming power pitcher he was during his prime, but in his defense, a 98.0 mph average four-seam fastball is still awfully tough to hit -- and still a top-three speed in baseball (minimum 500 thrown). Chapman's increasing rate of injury coupled with said velocity drop does threaten his draft stock more than it did, say, two years ago, but he still possesses top-five skills at his position for fantasy. He'll almost assuredly close for one of the best teams in baseball all season, so draft him with confidence in the early-to-mid rounds."
Tyler Glasnow,SP,Rays,12.0,12.0,60.2,14.0,76.0,6.0,0.0,0.0,1.78,0.89,11.27,10.0,10.0,58.0,20.0,64.0,4.0,0.0,0.0,3.41,1.1,9.93,"Glasnow was steamrolling his way to one of 2019's biggest breakthroughs, posting a 1.86 ERA, a 0.91 WHIP and a 30.1% K rate in eight starts before succumbing to a forearm strain that cost him almost four whole months. The lengthy absence, coupled with his elite fastball velocity, immediately raised durability questions, which will surely dampen his fantasy potential entering 2020. Glasnow made six September/postseason appearances during which he continued to flash ace-caliber stuff. Bear in mind that his worst two starts did come at Houston's Minute Maid Park, with pitch-tipping concerns raised. Expect as many as 25 starts and 160-175 innings. With that much volume, and his revamped delivery following his mid-2018 trade from the Pirates, he could easily place among the top 20 fantasy starters in any format. Just be forewarned that Glasnow's range of outcomes is among the widest of any SP."
Yu Darvish,SP,Cubs,31.0,31.0,178.2,56.0,229.0,6.0,0.0,0.0,3.98,1.1,11.54,12.0,12.0,66.0,22.0,77.0,4.0,0.0,0.0,4.36,1.21,10.5,"Darvish's 2019 was a tale of two halves. He found it exceedingly difficult to find the strike zone during the season's first half, posting a 5.01 ERA and a 11.7% walk rate in 18 starts, but suddenly flashed pinpoint control during the second half, posting a 2.76 ERA in 13 starts and walking as few total batters (seven) as he did in his March 30 start alone. So which version is the one to anticipate in 2020? With that level of improvement in his control, Darvish has a legitimate chance to be a top-20 fantasy starter this season, though similarly good luck in the health department would have a lot to say about it. He's a better draft pick now than you might think, and if he slips outside the top 25 on your board, you should pounce!"
Brandon Woodruff,SP,Brewers,23.0,22.0,121.2,30.0,143.0,11.0,0.0,0.0,3.62,1.14,10.58,12.0,12.0,69.0,21.0,75.0,5.0,0.0,0.0,3.78,1.19,9.78,"Woodruff was on his way to becoming one of 2019's biggest breakthrough stories before an oblique injury suffered in his July 21 start cost him close to two months on the IL. He was limited to only three appearances and eight total innings (postseason included) the rest of the way. Fortunately, despite the limited sample, his skills after returning looked to be in line with those in his four months of the year, his professional-best 6.1% walk rate being the most significant accomplishment. Further growth for Woodruff will hinge upon more luck in the health department and a narrowing of his 86-point wOBA platoon split, but a shortened season does alleviate some of the workload concerns surrounding him. There's a lot to like here, and if he's throwing darts in spring training, he could merit a top-25 starter selection in any format."
Roberto Osuna,RP,Astros,66.0,0.0,65.0,12.0,73.0,4.0,38.0,0.0,2.63,0.88,10.11,22.0,0.0,22.0,4.0,31.0,1.0,14.0,0.0,2.45,0.91,12.68,"Osuna may not be the first closer off the board or most expensive in an auction, but he's firmly entrenched in the elite tier. Armed with a five-pitch mix more befitting an elite starter than a lockdown closer, Osuna features a 97 mph fastball, slider, changeup, cutter and occasional sinker. In his five-year career, Osuna's ERA has been below 3.00 four times, and he's never had a WHIP over 1.00. A 29% strikeout rate fuels a strong strikeout total despite topping 70 innings pitched just once. Last season, he held the closer job all season while notching an American League-leading 38 saves. If you're looking to pay for a closer, Osuna is one of the safest and most reliable options."
Shohei Ohtani,"DH, SP",Angels,75.0,2.0,84.0,21.0,110.0,4.0,25.0,7.0,1.82,0.98,13.07,24.0,0.0,25.0,7.0,4.0,1.0,14.0,0.0,2.52,1.0,12.96,"Ohtani will be nearly 22 months removed from Tommy John surgery at the time of 2020 Opening Day, so there's a good chance we'll see him on the mound a significant amount this season. He has already flashed elite ability on both sides of the ball, going 5-for-9 in quality starts with a 3.10 ERA and 30.5% strikeout rate before injuries began to surface in 2018, and hitting .287/.357/.596 with 15 home runs in 59 games as a near-regular designated hitter during the second half of 2019. In leagues with daily lineup locks, the ability to maximize his contributions as either hitter or pitcher, depending upon his daily role, boosts his value ahead of weekly leagues, where he'll be locked into one role or another for the entire scoring period. He's capable of a top-100 contribution overall in any format, even if he's limited to only one role or the other, but the case can be made he's a top-50 talent in our game thanks to the daily format."
Liam Hendriks,RP,Athletics,62.0,0.0,63.0,16.0,122.0,5.0,33.0,0.0,3.71,1.06,11.43,21.0,0.0,22.0,3.0,36.0,1.0,14.0,0.0,3.27,0.91,12.68,"An increase of more than 2 mph in his average four-seam velocity, and a greater reliance upon it, fueled a massive breakthrough for Hendriks, which culminated with a top-four finish among relief pitchers on both the Player Rater and in terms of total fantasy points. In fact, from the date of his first save on June 22, he had league-leading totals among relievers with 25 saves, 74 strikeouts and an 18.5 K-to-walk ratio. Hendriks' swift turnaround has resulted in his entering 2020 as one of the top picks at his position in any fantasy league, considering his added strikeout potential and locked-in closer role. Draft him among the top eight at his position at minimum, with a chance that he could contend for the top spot over the full campaign."
Kenley Jansen,RP,Dodgers,23.0,12.0,80.0,16.0,80.0,6.0,1.0,1.0,5.29,1.35,10.8,11.0,11.0,62.0,15.0,31.0,4.0,0.0,0.0,3.77,1.18,10.6,"Jansen's career has significantly swung in the wrong direction the past two seasons, as the average velocity of his cutter dropped in each campaign (culminating in a career-low 91.7 mph in 2019), his strikeout rate fell by more than 10%, and he blew a whopping eight save chances last season. Despite this, he managed to maintain the job all season, finishing 11th among relief pitchers on the Player Rater and 10th in terms of fantasy points. Jansen's 2019 looked as bad as it did partly in contrast to his historic 2015-17 campaigns, but he's still capable of being one of the better choices at his position, even with diminished skills. He should still strike out 30% of the hitters he faces, and his 3.21 SIERA shows that he might be due better fortune in the ERA department this time around. As Blake Treinen, who had a similarly bad 2019, is his primary competition for saves, Jansen should hold his closer job and be at least a top-eight performer at the position."
Carlos Carrasco,"SP, RP",Indians,60.0,0.0,69.0,11.0,96.0,2.0,30.0,10.0,2.61,1.0,11.74,21.0,0.0,21.0,4.0,73.0,1.0,14.0,0.0,3.0,1.0,9.43,"A leukemia diagnosis sidelined Carrasco for more than 12 weeks last season. While it was heartwarming to see him return to the mound in September, it was as a reliever, making it difficult to glean any fantasy takeaways heading into 2020. He's expected to be at full strength for spring training, and considering he had 28.7% strikeout and 4.0% walk rates in 12 starts before the absence, there's reason to believe he can rebound to his prior form as a top-25 fantasy starter. This is true even as his fantasy stats were destroyed by a .357 BABIP, a 17.9% HR/FB rate and a 73.8 LOB% during that span. Monitor Carrasco's status throughout spring training, as a strong performance would go a long way toward strengthening his case for the upcoming season."
Taylor Rogers,RP,Twins,66.0,0.0,58.0,22.0,90.0,2.0,26.0,1.0,5.59,1.38,15.36,24.0,0.0,23.0,7.0,22.0,1.0,10.0,2.0,3.91,1.04,14.87,"Often, a closer-by-committee remains as such until someone stakes a claim on the primary role. That's what happened with Rogers last season. With a 1.04 ERA after eight games, including four holds and the Opening Day save, the southpaw latched onto closing duties. However, as 69 innings in 60 appearances demonstrates, Rogers often worked multiple frames, taking advantage of his ability to handle batters from either side of the plate. Rogers throws three pitches: a two-seam fastball against all hitters, a slider he uses more against righties, and a curve he mixes in against lefties but rarely throws against right-handers. The slider is his ""out pitch"" facing right-handed bats, while the curve and slider keep lefties at bay. Taylor is again ticketed to be the main closer, likely to continue coming in for multiple stanzas when the situation warrants."
